Country,Master account,Link
Vietnam,1000039874,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=3%2BuXp2R4RZhzjDhbjgT%2F2w%3D%3D
India,1000039875,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=5t8cL1ldDDB8OL%2FKtmi0THGK7xAQoIyD3OcUhX%2FAuM4%3D
Thailand,1000039876,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=Y4eXC88EckWSk2lwe8UTMg%3D%3D
Philippines,1000039877,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=Qby28G8XEv68F6XyasmxIg%3D%3D
Malaysia,1000039878,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=1TyjlpC976PoR6MfZdGyLw%3D%3D
Indonesia,1000039879,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=b4rCqJL%2FpuuqCmzQKC%2BpCg%3D%3D
Taiwan,1000039880,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=xq8YGFUdrhJRqHJaKb4HVHGK7xAQoIyD3OcUhX%2FAuM4%3D
Korea,1000039881,https://login-gm.atfx-gm.com/register?redirect_uri=applyLive&invitationCode=xQ2ZpR%2FESToC2rR44ajEfQ%3D%3D
